DMA,Brand,Year,NielsenRating,LocalTeamInSB,PostRevenuePerWeek
501,BUDWEISER,2006,0.371,0,0.098291563
501,BUDWEISER,2007,0.351,0,0.107797113
501,BUDWEISER,2008,0.449,1,0.110065625
501,BUDWEISER,2009,0.379,0,0.122603888
501,BUDWEISER,2010,0.411,0,0.142136025
501,BUDWEISER,2011,0.426,0,0.130279125
501,COORS,2006,0.371,0,0.050731013
501,COORS,2007,0.351,0,0.052405663
501,COORS,2008,0.449,1,0.062195775
501,COORS,2009,0.379,0,0.071223
501,COORS,2010,0.411,0,0.083417188
501,COORS,2011,0.426,0,0.080317813
501,CORONA,2006,0.371,0,0.071252425
501,CORONA,2007,0.351,0,0.076616638
501,CORONA,2008,0.449,1,0.085969775
501,CORONA,2009,0.379,0,0.091788475
501,CORONA,2010,0.411,0,0.1016734
501,CORONA,2011,0.426,0,0.094371788
501,MILLER,2006,0.371,0,0.016342463
501,MILLER,2007,0.351,0,0.01786255
501,MILLER,2008,0.449,1,0.018108413
501,MILLER,2009,0.379,0,0.018752663
501,MILLER,2010,0.411,0,0.020945575
501,MILLER,2011,0.426,0,0.020744425
501,OTHERBEER,2006,0.371,0,0.148487725
501,OTHERBEER,2007,0.351,0,0.177783638
501,OTHERBEER,2008,0.449,1,0.201168075
501,OTHERBEER,2009,0.379,0,0.209493325
501,OTHERBEER,2010,0.411,0,0.239941363
501,OTHERBEER,2011,0.426,0,0.227952675
505,BUDWEISER,2006,0.525,0,0.219402163
505,BUDWEISER,2007,0.386,0,0.215226313
505,BUDWEISER,2008,0.475,0,0.248109763
505,BUDWEISER,2009,0.421,0,0.267724775
505,BUDWEISER,2010,0.446,0,0.284864275
505,BUDWEISER,2011,0.472,0,0.255405225
505,COORS,2006,0.525,0,0.01596285
505,COORS,2007,0.386,0,0.01473535
505,COORS,2008,0.475,0,0.02029525
505,COORS,2009,0.421,0,0.024420863
505,COORS,2010,0.446,0,0.0318844
505,COORS,2011,0.472,0,0.03148925
505,CORONA,2006,0.525,0,0.02568835
505,CORONA,2007,0.386,0,0.025724338
505,CORONA,2008,0.475,0,0.0260594
505,CORONA,2009,0.421,0,0.0247956
